State,Number BAC=0,Percent BAC=0,Number BAC=0.01-0.09,Percent BAC = 0.01-0.09,Number BAC = 0.10+,Percent BAC = 0.10+,Number Killed in Alcohol Related Crashes,Percent Killed Alcohol Related Crashes,Total Killed in All Accidents,Percent,Year,"Population, US Census",Direct Ship,Beer Per Capita,Wine Per Capita,Spirits Per Capita
WI,461,54,47,6,340,40,387,46,848,100,2003,"5,479,203",0,1.52,0.29,1
WI,440,55,39,5,325,40,364,45,803,100,2002,"5,445,162",0,1.56,0.28,0.98
WI,702,69,39,4,279,27,318,31,"1,020",100,2001,"5,406,835",0,1.53,0.26,0.95
WI,454,57,57,7,288,36,345,43,799,100,2000,"5,373,999",0,1.54,0.27,0.95
WV,248,66,11,3,116,31,126,34,374,100,2005,"1,820,492",0,1.23,0.1,0.4
WV,275,67,22,5,114,28,136,33,411,100,2004,"1,816,438",0,1.25,0.1,0.39
WV,246,63,22,6,126,32,148,37,394,100,2003,"1,812,295",0,1.23,0.1,0.38
WV,259,59,20,5,160,36,180,41,439,100,2002,"1,805,414",0,1.26,0.1,0.38
WV,382,75,16,3,108,21,125,25,506,100,2001,"1,801,481",0,1.23,0.1,0.37
WV,235,57,26,6,149,36,175,43,410,100,2000,"1,807,021",0,1.18,0.1,0.35
WY,105,62,9,5,56,33,65,38,170,100,2005,"514,157",0,1.21,0.23,0.97
WY,105,64,5,3,54,33,59,36,164,100,2004,"509,106",0,1.41,0.22,0.92
WY,103,62,12,7,50,30,62,38,165,100,2003,"503,453",0,1.69,0.23,0.9
WY,107,61,7,4,62,35,70,39,176,100,2002,"500,017",0,1.46,0.22,0.88
WY,143,69,8,4,55,27,63,31,206,100,2001,"494,657",0,1.43,0.22,0.88
WY,107,70,6,4,40,26,45,30,152,100,2000,"494,300",0,1.42,0.18,0.86
