State,Number BAC=0,Percent BAC=0,Number BAC=0.01-0.09,Percent BAC = 0.01-0.09,Number BAC = 0.10+,Percent BAC = 0.10+,Number Killed in Alcohol Related Crashes,Percent Killed Alcohol Related Crashes,Total Killed in All Accidents,Percent,Year,"Population, US Census",Direct Ship,Beer Per Capita,Wine Per Capita,Spirits Per Capita
NE,173,63,33,12,70,25,103,37,276,100,2000,"1,713,820",0,1.44,0.17,0.62
NH,106,64,5,3,55,33,60,36,166,100,2005,"1,298,492",0,1.72,0.71,1.68
NH,112,65,8,5,51,30,59,35,171,100,2004,"1,290,121",0,1.71,0.7,1.65
NH,75,59,8,7,43,34,52,41,127,100,2003,"1,279,840",0,1.72,0.7,1.61
NH,76,60,5,4,46,36,51,40,127,100,2002,"1,269,089",0,1.73,0.69,1.63
NH,136,70,15,8,44,23,59,30,195,100,2001,"1,255,517",0,1.74,0.65,1.61
NH,77,61,9,7,40,31,49,39,126,100,2000,"1,239,882",0,1.75,0.56,1.69
NJ,485,65,46,6,217,29,263,35,748,100,2005,"8,651,974",0,0.95,0.51,0.82
NJ,461,63,42,6,227,31,270,37,731,100,2004,"8,634,561",0,0.96,0.52,0.82
NJ,472,63,35,5,240,32,275,37,747,100,2003,"8,601,402",0,0.95,0.5,0.79
NJ,474,61,45,6,254,33,299,39,773,100,2002,"8,552,643",0,0.98,0.49,0.77
NJ,816,76,54,5,206,19,260,24,"1,076",100,2001,"8,492,671",0,0.99,0.47,0.75
NJ,412,56,88,12,231,32,319,44,731,100,2000,"8,430,621",0,0.96,0.47,0.77
NM,299,61,17,3,172,35,189,39,488,100,2005,"1,932,274",0,1.48,0.29,0.67
NM,310,60,26,5,185,36,211,40,521,100,2004,"1,903,808",0,1.45,0.25,0.66
NM,241,55,28,6,170,39,198,45,439,100,2003,"1,877,574",0,1.52,0.27,0.61
NM,234,52,27,6,189,42,215,48,449,100,2002,"1,855,309",0,1.53,0.26,0.61
NM,403,71,29,5,137,24,166,29,569,100,2001,"1,831,690",0,1.54,0.25,0.61
NM,225,52,46,11,159,37,205,48,430,100,2000,"1,821,204",0,1.53,0.25,0.61
NV,268,63,16,4,143,33,159,37,427,100,2005,"2,432,143",0,1.71,0.62,1.23
NV,243,61,20,5,133,34,152,39,395,100,2004,"2,346,222",0,1.75,0.64,1.26
NV,186,50,24,6,159,43,182,50,368,100,2003,"2,248,850",0,1.76,0.62,1.25
NV,210,55,23,6,148,39,171,45,381,100,2002,"2,173,791",0,1.75,0.61,1.24
NV,328,75,19,4,91,21,110,25,438,100,2001,"2,098,399",0,1.81,0.6,1.22
NV,178,55,32,10,112,35,145,45,323,100,2000,"2,018,741",0,1.79,0.62,1.26
NY,905,63,91,6,434,30,524,37,"1,429",100,2005,"19,132,610",0,0.9,0.43,0.64
NY,906,61,93,6,494,33,587,39,"1,493",100,2004,"19,171,567",0,0.91,0.41,0.62
NY,962,65,71,5,458,31,529,35,"1,491",100,2003,"19,175,939",0,0.93,0.4,0.61
NY,"1,044",69,77,5,400,26,478,31,"1,522",100,2002,"19,137,800",0,0.95,0.38,0.59
NY,"1,687",81,77,4,307,15,384,19,"2,071",100,2001,"19,082,838",0,0.96,0.37,0.56
NY,"1,039",71,126,9,293,20,419,29,"1,458",100,2000,"19,001,780",0,0.92,0.38,0.58
OH,818,62,96,7,409,31,505,38,"1,323",100,2005,"11,463,320",0,1.31,0.23,0.43
OH,794,62,75,6,418,32,492,38,"1,286",100,2004,"11,452,251",0,1.33,0.22,0.41
OH,810,63,66,5,402,31,467,37,"1,277",100,2003,"11,434,788",0,1.33,0.22,0.48
OH,856,60,66,5,496,35,562,40,"1,418",100,2002,"11,407,889",0,1.34,0.21,0.47
OH,"1,391",72,84,4,453,24,537,28,"1,928",100,2001,"11,387,404",0,1.33,0.21,0.47
OH,835,62,105,8,411,30,516,38,"1,351",100,2000,"11,363,543",0,1.3,0.19,0.5
OK,519,65,34,4,249,31,283,35,802,100,2005,"3,548,597",0,1.09,0.16,0.55
OK,496,64,34,4,245,32,278,36,774,100,2004,"3,525,233",0,1.1,0.13,0.45
OK,413,62,35,5,220,33,255,38,668,100,2003,"3,504,892",0,1.06,0.13,0.73
OK,485,66,35,5,215,29,249,34,734,100,2002,"3,489,080",0,1.11,0.13,0.58
OK,668,76,31,3,184,21,215,24,883,100,2001,"3,467,100",0,1.11,0.12,0.43
OK,431,66,53,8,169,26,221,34,652,100,2000,"3,454,365",0,1.13,0.12,0.44
OR,311,64,38,8,139,29,177,36,488,100,2005,"3,613,202",0,1.23,0.48,0.74
OR,257,56,40,9,159,35,199,44,456,100,2004,"3,569,463",0,1.22,0.49,0.71
OR,305,60,32,6,175,34,207,40,512,100,2003,"3,547,376",0,1.2,0.47,0.68
OR,257,59,26,6,153,35,179,41,436,100,2002,"3,513,424",0,1.22,0.46,0.66
OR,480,76,30,5,123,19,152,24,632,100,2001,"3,467,937",0,1.22,0.43,0.65
OR,263,58,56,12,132,29,188,42,451,100,2000,"3,429,708",0,1.2,0.44,0.64
